service	controller	annotation	path
booking-service	SlotHoldController	DELETE	/api/v1/bookings/slot-holds/{token}
booking-service	SlotHoldController	GET	/api/v1/bookings/slot-holds/my
booking-service	SlotHoldController	GET	/api/v1/bookings/slot-holds/admin
booking-service	SlotHoldController	DELETE	/api/v1/bookings/slot-holds/admin/{token}
booking-service	WaitlistController	POST	/api/v1/bookings/waitlist
booking-service	WaitlistController	DELETE	/api/v1/bookings/waitlist/{entryId}
booking-service	WaitlistController	GET	/api/v1/bookings/waitlist/my
booking-service	WaitlistController	GET	/api/v1/bookings/waitlist/admin
booking-service	WaitlistController	GET	/api/v1/bookings/waitlist/admin/count
booking-service	WaitlistController	DELETE	/api/v1/bookings/waitlist/admin/{entryId}
booking-service	WaitlistController	POST	/api/v1/bookings/waitlist/admin/{entryId}/offer
booking-service	WaitlistController	PATCH	/api/v1/bookings/waitlist/admin/{entryId}/priority
booking-service	LoyaltyV2AdminController	POST	/api/v2/loyalty/admin/enrollments
booking-service	LoyaltyV2AdminController	GET	/api/v2/loyalty/admin/bindings/{bingeId}
booking-service	LoyaltyV2AdminController	POST	/api/v2/loyalty/admin/bindings/{bingeId}/enable
booking-service	LoyaltyV2AdminController	POST	/api/v2/loyalty/admin/bindings/{bindingId}/disable
booking-service	LoyaltyV2AdminController	GET	/api/v2/loyalty/admin/goodwill/{bingeId}/budget
booking-service	LoyaltyV2AdminController	POST	/api/v2/loyalty/admin/goodwill/{bingeId}
booking-service	LoyaltyV2AdminController	GET	/api/v2/loyalty/admin/bindings/{bindingId}/earn-rules
booking-service	LoyaltyV2AdminController	POST	/api/v2/loyalty/admin/bindings/{bindingId}/earn-rules
booking-service	LoyaltyV2AdminController	GET	/api/v2/loyalty/admin/bindings/{bindingId}/redeem-rule
booking-service	LoyaltyV2AdminController	POST	/api/v2/loyalty/admin/bindings/{bindingId}/redeem-rule
booking-service	LoyaltyV2AdminController	POST	/api/v2/loyalty/admin/bindings/{bindingId}/redeem-rule/reset
booking-service	LoyaltyV2AdminController	GET	/api/v2/loyalty/admin/bindings/{bindingId}/effective-redeem
booking-service	LoyaltyV2AdminController	POST	/api/v2/loyalty/admin/bindings/{bindingId}/perks
booking-service	LoyaltyV2AdminController	GET	/api/v2/loyalty/admin/status-match/pending
booking-service	LoyaltyV2AdminController	POST	/api/v2/loyalty/admin/status-match/{requestId}/approve
booking-service	LoyaltyV2AdminController	POST	/api/v2/loyalty/admin/status-match/{requestId}/reject
booking-service	LoyaltyV2CustomerController	GET	/api/v2/loyalty/me
booking-service	LoyaltyV2CustomerController	GET	/api/v2/loyalty/me/ledger
booking-service	LoyaltyV2CustomerController	GET	/api/v2/loyalty/me/redeem-quote
booking-service	LoyaltyV2CustomerController	GET	/api/v2/loyalty/me/redeem-max
booking-service	LoyaltyV2CustomerController	GET	/api/v2/loyalty/me/earn-quote
booking-service	LoyaltyV2CustomerController	GET	/api/v2/loyalty/me/status-match
booking-service	LoyaltyV2CustomerController	POST	/api/v2/loyalty/me/status-match
booking-service	LoyaltyV2SuperAdminController	GET	/api/v2/loyalty/super-admin/program
booking-service	LoyaltyV2SuperAdminController	PUT	/api/v2/loyalty/super-admin/program
booking-service	LoyaltyV2SuperAdminController	GET	/api/v2/loyalty/super-admin/tiers
booking-service	LoyaltyV2SuperAdminController	POST	/api/v2/loyalty/super-admin/tiers
booking-service	LoyaltyV2SuperAdminController	DELETE	/api/v2/loyalty/super-admin/tiers/{tierId}
booking-service	LoyaltyV2SuperAdminController	GET	/api/v2/loyalty/super-admin/perks
booking-service	LoyaltyV2SuperAdminController	POST	/api/v2/loyalty/super-admin/perks
booking-service	LoyaltyV2SuperAdminController	POST	/api/v2/loyalty/super-admin/tier-perks
booking-service	LoyaltyV2SuperAdminController	DELETE	/api/v2/loyalty/super-admin/tier-perks/{tierPerkId}
booking-service	LoyaltyV2SuperAdminController	GET	/api/v2/loyalty/super-admin/bindings
booking-service	LoyaltyV2SuperAdminController	POST	/api/v2/loyalty/super-admin/bindings/bulk
booking-service	LoyaltyV2SuperAdminController	GET	/api/v2/loyalty/super-admin/country-configs
booking-service	LoyaltyV2SuperAdminController	POST	/api/v2/loyalty/super-admin/country-configs
booking-service	LoyaltyV2SuperAdminController	DELETE	/api/v2/loyalty/super-admin/country-configs/{countryIso2}
booking-service	LoyaltyV2SuperAdminController	POST	/api/v2/loyalty/super-admin/bindings/{bindingId}/goodwill-settings
